h0,IN/WB/KK/h0/hr0/as0
h1,IN/WB/KK/h0/hr1/as1
h2,IN/WB/KK/h0/hr0/as2
h3,IN/WB/KK/h0/hr1/as3
h4,IN/WB/KK/h1/hr0/as4
h5,IN/WB/KK/h1/hr1/as5
h6,IN/WB/KK/h1/hr0/as6
h7,IN/WB/KK/h2/hr0/as7
h8,IN/WB/KK/h2/hr1/as8
h9,IN/WB/KK/h2/hr0/as9
h10,IN/WB/SI/h0/hr0/as0
h11,IN/WB/SI/h0/hr1/as1
h12,IN/WB/SI/h0/hr0/as2
h13,IN/WB/BU/h0/hr0/as0
h14,IN/WB/BU/h0/hr1/as1
h15,IN/WB/BU/h0/hr0/as2
h16,IN/PB/MA/h0/hr0/as0
h17,IN/PB/MA/h0/hr1/as1
h18,IN/PB/MA/h0/hr0/as2
h19,IN/PB/MA/h1/hr0/as3
h20,IN/PB/MA/h1/hr1/as4
h21,IN/PB/LI/h0/hr0/as0
h22,IN/PB/LI/h0/hr1/as1
h23,IN/PB/LI/h0/hr0/as2
h24,IN/PB/LI/h1/hr0/as3
h25,IN/PB/LI/h1/hr1/as4
h26,IN/PB/JN/h0/hr0/as0
h27,IN/PB/JN/h0/hr1/as1
h28,IN/PB/JN/h0/hr0/as2
h29,IN/PB/JN/h1/hr0/as3
h30,IN/PB/JN/h1/hr1/as4
h31,IN/MP/BP/h0/hr0/as0
h32,IN/MP/BP/h0/hr1/as1
h33,IN/MP/BP/h0/hr0/as2
h34,IN/MP/BP/h1/hr0/as3
h35,IN/MP/BP/h1/hr1/as4
h36,IN/MP/IO/h0/hr0/as0
h37,IN/MP/IO/h0/hr1/as1
h38,IN/MP/IO/h0/hr0/as2
h39,IN/MP/IO/h1/hr0/as3
h40,IN/MP/IO/h1/hr1/as4
h41,IN/MP/GL/h0/hr0/as0
h42,IN/MP/GL/h0/hr1/as1
h43,IN/MP/GL/h0/hr0/as2
h44,IN/MP/JL/h0/hr0/as0
h45,IN/MP/JL/h0/hr1/as1
h46,IN/MP/JL/h0/hr0/as2
