s57,IN/PB/JN/h0/hr0/as2
s56,IN/PB/JN/h0/hr1/as1
s55,IN/PB/JN/h0/hr0/as0
s54,IN/PB/JN/h0/hr1
s53,IN/PB/JN/h0/hr0
s52,IN/PB/LI/h1/hr1/as4
s51,IN/PB/LI/h1/hr0/as3
s50,IN/PB/LI/h1/hr1
s59,IN/PB/JN/h1/hr1
s58,IN/PB/JN/h1/hr0
s44,IN/PB/LI/h0/hr0
s45,IN/PB/LI/h0/hr1
s46,IN/PB/LI/h0/hr0/as0
s47,IN/PB/LI/h0/hr1/as1
s40,IN/PB/MA/h1/hr0
s41,IN/PB/MA/h1/hr1
s42,IN/PB/MA/h1/hr0/as3
s43,IN/PB/MA/h1/hr1/as4
s48,IN/PB/LI/h0/hr0/as2
s49,IN/PB/LI/h1/hr0
s79,IN/MP/IO/h1/hr0
s78,IN/MP/IO/h0/hr0/as2
s71,IN/MP/BP/h1/hr1
s70,IN/MP/BP/h1/hr0
s73,IN/MP/BP/h1/hr1/as4
s72,IN/MP/BP/h1/hr0/as3
s75,IN/MP/IO/h0/hr1
s74,IN/MP/IO/h0/hr0
s77,IN/MP/IO/h0/hr1/as1
s76,IN/MP/IO/h0/hr0/as0
s19,IN/WB/KK/h2/hr0/as7
s18,IN/WB/KK/h2/hr1
s13,IN/WB/KK/h1/hr1
s12,IN/WB/KK/h1/hr0
s11,IN/WB/KK/h0/hr1/as3
s10,IN/WB/KK/h0/hr0/as2
s17,IN/WB/KK/h2/hr0
s16,IN/WB/KK/h1/hr0/as6
s15,IN/WB/KK/h1/hr1/as5
s14,IN/WB/KK/h1/hr0/as4
s92,IN/MP/JL/h0/hr0/as2
s91,IN/MP/JL/h0/hr1/as1
s90,IN/MP/JL/h0/hr0/as0
s68,IN/MP/BP/h0/hr1/as1
s69,IN/MP/BP/h0/hr0/as2
s66,IN/MP/BP/h0/hr1
s67,IN/MP/BP/h0/hr0/as0
s64,IN/MP/GL/s2
s65,IN/MP/BP/h0/hr0
s62,IN/MP/BP/s0
s63,IN/MP/IO/s1
s60,IN/PB/JN/h1/hr0/as3
s61,IN/PB/JN/h1/hr1/as4
s80,IN/MP/IO/h1/hr1
s81,IN/MP/IO/h1/hr0/as3
s82,IN/MP/IO/h1/hr1/as4
s83,IN/MP/GL/h0/hr0
s84,IN/MP/GL/h0/hr1
s85,IN/MP/GL/h0/hr0/as0
s86,IN/MP/GL/h0/hr1/as1
s87,IN/MP/GL/h0/hr0/as2
s88,IN/MP/JL/h0/hr0
s89,IN/MP/JL/h0/hr1
s39,IN/PB/MA/h0/hr0/as2
s38,IN/PB/MA/h0/hr1/as1
s35,IN/PB/MA/h0/hr0
s34,IN/PB/JN/s2
s37,IN/PB/MA/h0/hr0/as0
s36,IN/PB/MA/h0/hr1
s31,IN/WB/BU/h0/hr0/as2
s30,IN/WB/BU/h0/hr1/as1
s33,IN/PB/LI/s1
s32,IN/PB/MA/s0
s9,IN/WB/KK/h0/hr1/as1
s8,IN/WB/KK/h0/hr0/as0
s3,IN/WB/KK/s0
s2,IN/DL/ND/n1
s1,IN/MH/MB/n0
s0,IN/MH/MB/i0
s7,IN/WB/KK/h0/hr1
s6,IN/WB/KK/h0/hr0
s5,IN/WB/BU/s2
s4,IN/WB/SI/s1
s22,IN/WB/SI/h0/hr0
s23,IN/WB/SI/h0/hr1
s20,IN/WB/KK/h2/hr1/as8
s21,IN/WB/KK/h2/hr0/as9
s26,IN/WB/SI/h0/hr0/as2
s27,IN/WB/BU/h0/hr0
s24,IN/WB/SI/h0/hr0/as0
s25,IN/WB/SI/h0/hr1/as1
s28,IN/WB/BU/h0/hr1
s29,IN/WB/BU/h0/hr0/as0
